,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
ADORA2B,2.2498794,-5.112724,-0.45914537,5.216451,6.380943,0.977749,-1.4178474,-3.149088,-2.8583634,3.6331332,-7.494805,6.137497,1.5084574,-3.1131136,-8.818561,1.4386148,-4.6755533,-6.8850617,-5.3519607,0.13029198,0.0012219623,3.3202503,-6.8905044,-0.18776429,2.894433,6.8526764,1.9260918,1.7358226,-7.0239725,-0.66792035,1.4293886,0.16130197
GNB2,2.3578582,-3.3550012,-1.1132765,4.659957,5.3804564,0.93354404,-2.0417016,-0.8107291,-3.7394423,3.518908,-6.7097807,5.68418,0.21968424,-2.1720424,-7.66486,0.49060076,-4.8413305,-5.3285003,-6.2984824,2.142704,1.5462664,3.1187534,-4.9751906,-0.34435484,1.7241592,6.8645506,3.0475066,2.9552982,-6.4349756,-2.1974852,3.6635494,-0.786011
LEP,0.09062275,-3.4584286,0.11197247,4.7523975,2.768646,0.8218836,-1.9097576,-0.73767954,-4.0627356,3.5771112,-6.9539995,5.001637,0.7141983,-3.0193872,-5.558957,1.7047161,-4.008404,-5.944449,-4.074975,0.5996759,-0.123784475,3.3701549,-3.9277823,-1.5268228,0.13295862,5.0457425,1.7516918,1.2019556,-4.2060966,-2.415512,0.8485779,-0.8953952
HTR1A,2.957235,-2.260038,-0.62956005,5.426948,5.5075154,0.9928349,-2.2469356,0.8596915,-5.2229,3.6926527,-7.6237173,5.5903683,-0.23856623,1.296136,-7.2112527,-1.4152433,-4.3577156,-7.023253,-7.074967,5.038284,0.66470957,2.181009,-5.5411906,-0.31448042,1.7537377,8.120277,3.941476,4.085072,-7.248691,-3.2708516,7.0818915,-1.9564888
GNAL,2.8264234,-3.2095509,-0.66030055,5.735207,6.1517053,1.7298263,-1.5542672,-1.0895842,-3.6574085,3.614994,-7.795371,6.2907677,1.0281287,-0.62901694,-8.754666,0.14458859,-4.346036,-6.855779,-6.5175896,2.7072039,0.6143904,2.729608,-6.1034307,-0.3494069,2.5011032,7.5720053,2.7326772,2.4637542,-7.8828993,-1.8251666,3.883851,-1.0974483
HTR7,2.7858117,-4.4546833,-0.088663235,6.3849764,6.673833,1.632259,-1.3174648,-1.7895654,-3.6104937,4.305623,-8.77954,7.177727,1.7633334,-1.888347,-9.533143,0.861986,-4.8028607,-7.625946,-6.4515257,1.9413991,0.39989865,3.1347353,-6.817867,-0.6162768,2.9023228,7.9027143,2.6811733,2.2944918,-8.411353,-1.7236142,2.7334142,-0.56747633
MAOA,1.9439873,-4.756172,0.4579699,6.569932,4.8905134,1.440476,-1.1509931,-1.4856623,-4.8523016,5.1245685,-10.266232,6.794688,2.2271767,-0.782479,-8.980873,1.4534724,-4.6443253,-8.857323,-5.328839,2.2274098,-1.7117387,2.921309,-7.3161106,-2.1586907,1.5802789,8.380418,3.064165,1.8604333,-7.857808,-2.4368532,1.7151395,-1.0490806
CPX-2175,2.8932824,-3.6830611,-0.317744,6.3885846,5.5495834,1.1020225,-1.8648026,-0.34890643,-4.78476,4.362197,-9.156827,6.772501,0.8271913,0.5141222,-8.915547,-0.026562989,-4.6348376,-8.079961,-6.8374534,4.0115247,0.521791,3.1487544,-6.762196,-0.6336905,1.9571631,9.266565,3.925625,3.9702804,-8.4713745,-2.8410163,5.2066097,-1.7748458
CPX-271,2.8172424,-3.7232797,-0.2897805,6.3884664,5.8734384,1.2318356,-1.5748559,-0.75188917,-4.238294,4.0119543,-8.980296,6.5889983,0.85194135,-0.067574695,-9.225944,0.2268959,-4.764764,-7.640682,-6.601621,3.4553945,0.5629363,3.01893,-6.5346217,-0.7666166,2.0875993,8.895438,3.4246998,3.3528724,-8.458539,-2.2538915,4.3867984,-1.375829
CPX-272,3.085057,-3.7184536,-0.24006002,6.2954607,5.7700434,1.1106086,-1.6285557,-0.48312464,-4.2379184,4.123618,-9.014578,6.73719,1.070733,0.26968673,-9.219657,0.31716192,-4.7062826,-7.564654,-6.8312154,3.7717564,1.0079584,2.9405224,-6.5244946,-0.6146071,2.0738554,9.014245,3.743024,3.7423902,-8.549412,-2.2942414,4.617226,-1.5598661
CPX-273,2.9443336,-3.8561602,-0.2556625,6.5166764,6.0000367,1.2330196,-1.6676626,-0.8053893,-4.3359823,4.071535,-8.948144,6.7015862,0.83682865,-0.09484696,-9.27262,0.19551021,-4.804369,-7.726445,-6.664055,3.4736762,0.65554625,3.0075943,-6.5748253,-0.69399875,2.0641296,8.943662,3.4909377,3.478653,-8.634856,-2.2455142,4.513299,-1.3608614
CPX-276,2.8638785,-3.793123,-0.23562658,6.5410705,5.8713093,1.1847883,-1.6619875,-0.7487279,-4.3782372,4.103705,-9.132712,6.7139177,0.90444297,-0.012479825,-9.3072815,0.19558638,-4.7710733,-7.917012,-6.6468296,3.5934741,0.4039017,3.072509,-6.715187,-0.8138913,2.007502,9.183843,3.5486295,3.4984114,-8.605485,-2.3319864,4.562128,-1.447033
HTR4,4.155901,-3.7514734,-0.29900295,5.315717,7.870119,1.0567279,-1.2903725,-1.5110588,-2.1554894,3.1865273,-7.791804,6.2141643,1.2442114,-0.89629877,-9.560843,0.47529647,-5.019565,-5.616494,-7.134986,2.264974,2.2743144,2.1319978,-5.6029778,0.19736831,3.3639278,7.230577,3.0734797,2.6385624,-8.253481,-0.1932922,3.3809543,-0.5475022
DRD2,2.7321632,-3.2636056,-0.87984294,5.488971,6.1754766,1.0547978,-2.0344918,-0.5041384,-4.1536884,3.9202385,-7.7369676,6.124122,0.40262574,-1.0205612,-8.337299,0.11023791,-4.933387,-6.4706063,-6.85782,3.1271434,1.1888669,3.0453334,-5.7836323,-0.13258256,2.0649054,8.117282,3.399908,3.6522765,-7.5793757,-2.450402,4.8139267,-1.1647637
CPX-3156,2.0814817,-2.065422,-0.7792626,4.3423495,4.009151,0.3425905,-2.330035,1.0458106,-4.3442063,2.2351072,-5.407638,4.7675767,-0.9366143,1.2234029,-5.7386136,-0.59769815,-4.299434,-4.536648,-5.6081834,4.921704,1.8556757,2.3782432,-4.612032,0.21323623,0.99209386,7.6046286,3.6639094,4.2689233,-5.731311,-3.3718824,6.5020485,-1.4541827
GNAS,1.5949643,-4.9514575,0.4396594,6.1521244,4.5492697,1.1810952,-1.2862885,-1.81078,-4.6442785,4.63867,-9.2407,6.5689716,1.981646,-0.9726352,-8.241802,1.4527811,-4.2882886,-8.488668,-4.744139,1.8366189,-1.541559,3.0091054,-7.4171596,-1.6172413,1.7924238,8.084518,2.6819658,1.9409393,-7.0819182,-2.2851074,1.8020954,-0.915788
CYP2C19,-0.0049857944,-6.000493,-0.7568795,6.108158,9.208783,1.5531149,-1.4254532,-4.195117,-3.6758533,5.8278475,-8.726935,5.7918024,-0.9021647,-10.44372,-9.983431,1.634335,-7.869846,-5.752427,-4.7924128,-3.4423678,-2.662315,3.869476,-4.911988,-3.9060423,1.6725451,5.370422,0.39763227,-1.5998291,-6.2132907,-2.0192385,-3.6425455,3.2563686
SRC,0.29075515,-3.8506427,0.19827928,4.5701914,2.8149464,0.56793994,-2.0218844,-1.5264452,-4.2678704,3.4109867,-6.659743,4.913489,0.6639424,-2.1000896,-5.4264355,1.3019817,-3.6564882,-6.8200154,-3.7836556,0.86078537,-0.97302634,3.4070175,-5.2216663,-0.91577715,0.76229787,5.9148126,1.8410934,1.7665995,-4.253376,-2.2844136,1.6117604,-0.81042033
HTR1D,3.1764457,-3.6090932,-0.17791635,6.2737226,6.298863,1.4748484,-1.5895345,-0.9431636,-4.0379133,3.8514261,-8.574984,6.8563714,1.4000957,0.21833244,-9.219981,0.07464788,-4.2156234,-7.840062,-6.7545877,3.203241,0.50445306,2.8784814,-6.968977,-0.31004357,2.746996,8.310727,3.2362852,3.0762842,-8.643758,-2.0752716,4.324503,-1.4516017
MAOB,1.5046428,-4.8404155,0.26713574,6.2376537,5.2612314,1.3536098,-1.1283853,-1.8941845,-4.4358826,4.930613,-9.799668,6.571769,2.177722,-2.3826876,-8.798811,1.8674082,-4.818265,-8.225215,-5.1250615,1.1907239,-1.5588988,2.968636,-6.7872276,-2.311073,1.5899771,7.624132,2.3780365,1.177813,-7.1738887,-2.0099447,0.6131706,-0.5127361
CPX-8432,1.467383,-4.540691,0.3534358,5.9799767,4.2497807,1.2207936,-1.5619138,-1.5640216,-4.7100277,4.397259,-8.8647585,6.17754,1.6975204,-0.7894146,-7.675313,1.2551239,-4.1654725,-8.397811,-4.6375985,1.9024777,-1.6228943,3.045295,-7.0697327,-1.3611767,1.6741574,7.807213,2.6125152,2.0462708,-6.686824,-2.3781292,2.071239,-0.98095983
SLC6A2,1.9849864,-2.9241896,0.08173591,5.0793285,5.681685,1.7467844,-1.3795062,-0.7893664,-3.5248766,3.7163177,-7.6831207,5.3671513,1.3430102,-1.145733,-7.1621385,1.1807629,-4.511305,-6.454179,-5.3663216,1.8208275,0.30322316,2.5673366,-4.81372,-0.33854705,2.110671,6.3738084,1.803597,1.7457556,-6.55398,-1.562705,2.284303,-0.9178835
DAO,0.80842113,-3.787159,-1.4330968,5.1648946,6.7273293,1.9041687,-1.2203537,-2.772636,-3.382834,3.9167523,-7.9820867,5.0033283,0.19695692,-4.459921,-8.455739,1.1455864,-5.3841233,-5.961151,-4.7349563,-0.8243733,-2.203849,3.0856833,-4.787822,-1.9687243,1.6523093,5.2604523,0.6555376,-0.6597947,-6.2323017,-1.3607161,-0.22352813,0.6894262
SNAP25,1.8085978,-3.7074106,0.47067016,6.126926,4.0957956,1.2669439,-1.4040257,-0.47593686,-5.0054817,4.4512253,-9.489756,6.171717,1.5349526,0.22205296,-7.9424243,0.93189794,-4.1793528,-8.124504,-5.318486,3.3496838,-1.2264905,2.7967641,-6.549492,-1.8917091,1.1737244,8.51656,3.2828119,2.4199965,-7.022888,-2.7882857,3.1808867,-1.5976775
RGS9,2.0427773,-5.5608425,-1.6225744,7.6494503,8.326373,1.9030553,-2.4296937,-3.3208659,-5.41686,6.321062,-10.193747,9.073068,-0.09812887,-9.42169,-12.241387,0.6057455,-7.6077437,-7.628946,-8.355492,0.2882374,0.019534737,4.4641514,-6.612315,-3.221876,0.6693718,9.526324,3.187704,1.4360805,-8.972326,-3.477282,3.4801593,0.7996892
GNAO1,2.2860367,-3.6239395,-0.8837518,5.4816785,5.203984,0.7683031,-2.1776056,-0.37795505,-4.883556,4.1101093,-8.075586,6.218525,-0.24806328,-1.7082894,-8.407036,0.13298322,-5.3393755,-6.092173,-6.695445,3.158546,1.0041116,3.327236,-5.461252,-1.4318272,0.9356156,8.385411,3.9392364,3.5201743,-7.197128,-3.2128236,4.7269397,-0.9754907
SLC6A3,2.1195052,-4.41951,0.53738064,6.655223,4.95923,1.5746737,-1.0890695,-1.1529071,-4.775983,5.0228167,-10.373141,6.8186316,2.2905648,-0.31429437,-9.146852,1.3050983,-4.558246,-8.922447,-5.604616,2.7240112,-1.522992,2.9001455,-7.437853,-1.9152519,1.7749289,8.76111,3.1708703,2.115051,-8.044083,-2.4513338,2.2889585,-1.2302634
CPX-2159,2.476453,-1.527306,-0.7810378,5.9857497,4.120404,0.9478907,-2.6865692,1.8089609,-6.362856,3.645753,-8.200686,5.475567,-1.132458,2.847533,-7.024665,-2.0034807,-4.2167983,-7.446444,-7.137881,6.8225145,0.30391046,2.8159897,-5.454708,-1.0644174,0.5072313,9.882307,4.835228,5.0406094,-7.614444,-4.789765,9.181674,-2.669564
CPX-2952,2.598707,-1.4795334,-0.8488085,5.714581,4.655718,1.1626285,-2.5163293,1.2303487,-5.749797,3.5837312,-7.895715,5.2696066,-0.74099004,2.276455,-7.0651846,-1.8433036,-4.129761,-7.316428,-7.0673423,6.119565,0.12033873,2.6510906,-5.2483783,-0.8449551,0.96512794,9.077503,4.240841,4.362284,-7.4690623,-4.1644897,8.449759,-2.35915
CPX-2953,1.9979846,-0.5571497,-0.9500491,4.6798377,3.5415087,0.99015516,-2.8449996,2.2684968,-6.175087,3.3905547,-7.115088,4.1283164,-1.0531676,3.4520993,-4.9866915,-2.4668574,-3.4639735,-7.2910647,-6.429243,6.525444,-0.5567736,2.3675978,-4.4116526,-0.53964436,0.6296024,8.084646,4.1022053,4.505421,-5.97714,-4.524839,8.807655,-2.8532965
CPX-8574,2.1730034,-1.0402472,-0.8738074,5.2563353,3.8984365,0.99976486,-2.7212305,1.8859978,-6.08768,3.3648918,-7.312038,4.7764897,-1.1382954,2.6612377,-5.996707,-2.0476413,-3.873799,-6.9421124,-6.743227,6.3518205,0.14091729,2.6333952,-4.668465,-0.7609957,0.52926093,8.720976,4.2209854,4.590186,-6.699108,-4.4983892,8.740942,-2.617429
CPX-8576,2.413689,-1.5710262,-0.7652275,5.8585334,4.2082763,0.99921155,-2.5801818,1.5679144,-6.173015,3.6267903,-8.177783,5.332222,-1.0052944,2.6018574,-7.032392,-1.819271,-4.2761354,-7.292039,-6.9620366,6.483884,0.21613455,2.8102074,-5.32943,-1.1248498,0.5109302,9.622984,4.6271214,4.771643,-7.55378,-4.5700917,8.6754,-2.5135443
CPX-8577,2.4509406,-1.5125047,-0.83562905,5.8949585,4.3333945,0.9885325,-2.6959083,1.698863,-6.2716527,3.6514244,-8.114969,5.3594794,-1.1441014,2.656528,-6.971782,-2.1089506,-4.2583904,-7.380122,-7.118467,6.644607,0.10528289,2.7248888,-5.3777885,-1.0712388,0.55968237,9.587749,4.6559267,4.8124614,-7.519913,-4.7002587,9.103329,-2.535424
CPX-8578,2.514857,-1.5655825,-0.7001426,5.8277707,4.306315,0.9375259,-2.4564216,1.549739,-5.885032,3.4943135,-7.97821,5.416014,-0.905376,2.5567193,-7.0657835,-1.7719193,-4.135493,-7.1159253,-7.0324993,6.455191,0.553941,2.6868424,-5.314471,-0.9327585,0.67952883,9.538144,4.589932,4.825214,-7.4245586,-4.3496437,8.687418,-2.5059588
CPX-8580,2.54847,-1.2275437,-0.88437444,5.768136,4.2979164,1.0156415,-2.6336012,1.8716882,-6.1442695,3.340544,-7.5965223,5.3052807,-1.2583482,2.7225997,-6.833654,-2.0928764,-4.1387877,-6.7581525,-7.2076373,6.777768,0.73696244,2.6827893,-5.0749474,-0.8862642,0.46397656,9.5372095,4.6734033,4.9476466,-7.4255204,-4.7294397,9.376184,-2.6545465
CPX-8581,2.4608626,-1.5882219,-0.8113568,5.9668546,4.2811766,0.9800708,-2.5773506,1.6125543,-6.2020497,3.5154634,-7.8932652,5.512412,-1.1943331,2.37155,-7.2443357,-1.8355764,-4.3294606,-6.9149637,-7.1337748,6.5372467,0.61783093,2.8739743,-5.3047857,-1.1317712,0.395691,9.730417,4.6999764,4.851218,-7.6525006,-4.7150536,8.929367,-2.50664
CPX-5225,-0.4485619,-4.8191724,-0.33190715,5.353637,5.7407103,1.4781862,-1.0605628,-3.720878,-4.07565,4.741433,-8.976982,4.6029673,0.3756042,-6.073685,-7.4219723,2.3232698,-5.720774,-6.8501115,-3.1377914,-2.23597,-4.511159,3.29066,-4.8294272,-3.5473382,0.9094837,5.162922,0.29962137,-1.7312226,-4.686703,-1.2998466,-2.8039103,1.504023
CPX-1062,0.4596691,-3.7525702,0.22202888,4.7753863,3.214968,0.8053145,-1.7275988,-1.3395259,-4.150443,3.8191612,-7.5956593,4.8514814,1.1498492,-2.603846,-5.926204,1.8702165,-4.064763,-6.6712284,-4.049315,0.8132867,-1.2007903,3.1063323,-4.7568097,-1.6696814,0.6723003,5.873436,1.7792141,1.167067,-4.498523,-1.9731518,0.76353663,-0.61968434
CPX-1069,0.58141696,-3.741163,0.08036866,4.707918,3.6087482,0.949954,-1.5981755,-1.4630198,-3.9286537,3.838344,-7.5937643,4.841194,1.4631506,-2.6807144,-6.0115757,1.8899564,-4.011296,-6.613351,-4.1218176,0.7028338,-1.2681284,2.9231617,-4.860069,-1.5504882,0.97102755,5.819543,1.6128675,1.0597235,-4.670241,-1.7067697,0.61531246,-0.5666733
CPX-1070,0.07431805,-3.3332808,-0.020181078,4.1872735,2.2945142,0.47640324,-2.1135538,-0.95122856,-4.0750084,3.296232,-6.3591714,4.2671027,0.32524574,-2.675021,-4.797727,1.5480316,-3.803977,-5.639707,-3.7653713,0.8201908,-0.40039796,3.1707473,-3.6277304,-1.3946345,-0.041754253,4.97406,1.7974721,1.4901603,-3.53965,-2.3431304,1.2263526,-0.67665744
CPX-1120,0.26834393,-3.3188083,-0.038689755,4.2536283,2.534304,0.50972104,-2.1484284,-1.0409926,-4.067919,3.296526,-6.511183,4.266788,0.3114841,-2.4649143,-4.9348845,1.5195413,-3.9065816,-5.753903,-3.8755891,0.906482,-0.45994702,3.1257894,-3.6595078,-1.3262744,0.09958946,5.124916,1.8366929,1.5547405,-3.7100725,-2.2233121,1.3620121,-0.6677301
CPX-1134,0.09360707,-3.1898766,0.0083713215,4.149232,2.185755,0.48446512,-2.1805863,-0.8319544,-4.1576233,3.20226,-6.305752,4.2038484,0.212389,-2.3781486,-4.58995,1.5170515,-3.7382605,-5.654436,-3.7255487,0.9843996,-0.37545073,3.1528769,-3.5008118,-1.3000207,-0.048574194,4.979745,1.8010943,1.5666367,-3.454609,-2.3357947,1.4157511,-0.81562984
CPX-1180,0.4437953,-3.5453198,0.18265489,4.6899805,3.2116694,0.8344268,-1.7760301,-1.3730063,-4.0141697,3.677152,-7.396775,4.706378,1.1021445,-2.5997064,-5.7631364,1.8057401,-3.971618,-6.5125484,-4.0057898,0.78261214,-1.2445335,3.079928,-4.6154556,-1.5508752,0.6520435,5.782206,1.6597764,1.1213354,-4.3624163,-1.9006234,0.8651466,-0.6162872
AVPR1A,2.069717,-3.4897802,-0.90021807,4.2711496,5.61475,1.2459776,-1.5489112,-1.5941727,-2.6887064,3.4051619,-6.764122,5.3541393,1.703086,-2.7229605,-7.4127913,1.3643038,-4.235476,-5.744342,-5.8113384,0.84064776,1.1024005,3.1544676,-5.1609025,0.20310654,2.5905614,6.032437,1.9449685,2.141374,-6.2155657,-1.026035,1.6848999,-0.43460387
MC4R,2.5805624,-4.149735,-0.9989898,4.9517245,6.9738655,0.82827246,-1.6376925,-1.9546069,-3.0875084,3.8148673,-7.5986834,6.5424156,1.1267246,-3.9875631,-9.000153,1.385356,-5.166003,-5.5462894,-6.803568,0.8929816,1.7110835,3.174984,-5.4320354,-0.6945689,2.3561478,6.693018,2.5296743,2.1700394,-7.0184765,-1.196436,2.0161827,-0.25161374
ADRB2,1.4931722,-4.148054,0.20860144,5.6254826,4.774035,1.1073731,-1.407652,-1.3003795,-4.486975,4.6092753,-9.150258,6.2565107,1.9903221,-1.968634,-7.9841228,1.6739963,-4.329579,-7.51355,-5.236978,1.7930534,-1.1104242,3.0217962,-6.306413,-2.028605,1.4726177,7.768967,2.6745086,1.8097303,-6.445994,-2.2367666,1.6754601,-0.9281015
LRTOMT,0.70251095,-5.0961494,-0.48712432,6.3025293,7.663413,1.5500677,-1.6079402,-2.9502907,-4.236914,5.475406,-9.137802,6.1680493,-0.257155,-6.738583,-9.833182,1.0259345,-6.7960124,-7.058281,-5.4022284,-1.0005622,-2.1836038,4.028903,-5.927052,-3.0345342,1.5239009,7.0401306,1.6687142,0.28541332,-7.1504717,-2.715191,-0.6336509,1.5903509
DRD5,3.0241208,-1.8907353,-0.69502264,6.1127386,6.536475,1.2082351,-2.1336703,0.11499307,-4.874689,3.2608595,-7.679586,5.7800293,-0.7826422,-0.0015485231,-8.589332,-1.6345607,-4.730905,-6.6728992,-7.8136253,4.7440777,0.6891528,2.662185,-5.5194435,-0.8608664,1.5558428,8.713855,3.512432,3.4746723,-8.02219,-3.0005465,7.6649885,-1.600365
ANKK1,2.7188456,-3.483356,-0.2883609,6.416551,6.1702404,1.403898,-1.5539083,-1.3234793,-4.2501597,4.107186,-8.698804,6.5717044,0.6443718,-0.9333542,-9.417214,0.3681986,-4.790285,-7.4255342,-6.7463293,2.8313205,0.29029965,3.3681333,-6.4155283,-0.9165862,1.8386221,8.676148,3.2382224,2.8277867,-8.337288,-2.3905237,4.152009,-1.3041985
GNAI2,2.0138052,-3.9082992,0.39339474,6.300871,4.547519,1.3389124,-1.4330963,-0.7691595,-4.9224105,4.77168,-9.806099,6.6652384,1.969378,-0.046663187,-8.491677,1.0449499,-4.2226987,-8.443663,-5.6547523,3.1109517,-1.241098,3.0224538,-7.0140815,-1.8370961,1.5185249,8.808929,3.3645122,2.4692519,-7.5491204,-2.7559178,3.0948534,-1.585899
MPDZ,2.8026304,-3.492595,-0.49235672,5.215567,5.6217184,1.8400853,-1.0930225,-0.9803753,-3.2183986,3.8415456,-7.90725,6.0587134,2.1096087,-0.9457995,-8.834399,1.3395245,-4.673194,-6.5255365,-6.3359413,1.9255135,0.9666642,2.771466,-6.1157293,-0.11542459,2.7433698,7.231742,2.301993,2.1326578,-7.588415,-1.0609783,1.9876109,-0.9386224
GHRHR,4.3124228,-4.421542,-1.3055346,4.968858,8.495296,0.88018835,-1.5693907,-3.603435,-1.7665725,3.6084619,-7.1390457,6.2335725,1.3842455,-3.8567178,-10.489918,1.2837107,-5.2995567,-5.5276966,-7.876386,-0.12864366,2.1274457,3.60701,-5.999469,1.011464,4.1634216,6.681997,2.4227924,2.0160377,-8.4810705,1.0004748,1.9713032,-0.13341974
CPX-2202,2.2099798,-3.14895,0.27448285,6.3219724,3.446018,1.2909124,-1.7666501,0.58671874,-5.7078767,4.5929093,-9.586759,6.304724,1.0359784,2.2979057,-7.6194367,-0.023743555,-3.9875567,-8.581357,-5.8825564,5.0067725,-0.41525567,2.8076034,-6.4074483,-1.456551,0.88794255,9.144567,4.312414,3.7943013,-7.682364,-3.8433065,5.2260294,-2.3542917
CPX-294,2.1341517,-3.5057898,0.3101542,6.433145,4.174382,1.4983397,-1.4631865,-0.42680794,-5.2412295,4.7925982,-9.99704,6.4542747,2.0138793,1.1264793,-8.067835,0.6889394,-3.9430368,-8.982201,-5.7185507,3.999186,-1.3781812,2.8988092,-7.103407,-1.6038443,1.5775096,9.263169,3.4742053,2.8882067,-7.762306,-2.998093,3.8084812,-1.9142582
NPY2R,2.8341157,-3.7777095,-1.1257843,5.345172,6.936334,1.421014,-1.7715402,-2.013214,-3.022844,3.965747,-7.3279,6.260247,1.3404764,-3.5906355,-8.93031,0.8251529,-4.992916,-5.9460692,-6.788129,1.1168199,1.2500738,3.0044656,-5.518109,-0.050229665,2.5429301,7.0498323,2.2515774,2.2583003,-7.500775,-0.9784209,2.8037264,-0.2540214
CPX-1910,2.2947433,-1.7219923,-0.8099003,4.4205027,5.3908253,1.1820513,-1.7815673,-1.9020064,-1.7922359,1.8870955,-5.135236,3.2514286,-0.6716117,-0.8602173,-6.4707203,-0.06394562,-4.2142167,-4.939868,-5.333376,1.6215348,-0.30420253,2.9136102,-3.7434309,0.913626,2.5031884,5.687643,1.0194621,1.4196191,-5.4361696,0.0116163865,3.7197864,-0.07917742
CYP1A2,0.60973823,-5.4292126,-0.24786787,6.0708437,7.034651,1.3588172,-1.100397,-3.1889765,-3.7995493,5.3384314,-9.235896,6.212894,1.2055503,-6.8138976,-9.383068,2.002065,-6.094714,-6.9074073,-4.905712,-1.3598318,-2.329497,3.4399905,-6.0309834,-3.1899283,1.563612,6.4070144,1.1662618,-0.46843845,-6.5045905,-1.7923987,-1.7435488,1.310283
